output_type,parameter_type,region,origin,destination,coefficient,std_error,z_value,wald_statistic,p_value,multiplicative_factor,flow,predicted_flow,residual,distance_value
prediction,NA,NA,Bekasi,Jakarta Utara,NA,NA,NA,NA,NA,NA,2672575,3254604.0139216683,-582029.0139216683,51.472
prediction,NA,NA,Bekasi,Jakarta Barat,NA,NA,NA,NA,NA,NA,2257559,2470194.7100008065,-212635.7100008065,61.407
prediction,NA,NA,Bekasi,Jakarta Pusat,NA,NA,NA,NA,NA,NA,1649545,2187499.996116039,-537954.9961160389,53.602
prediction,NA,NA,Bekasi,Kota Tangerang,NA,NA,NA,NA,NA,NA,1798068,1706962.0452895113,91105.95471048867,73.739
prediction,NA,NA,Bekasi,Kota Depok,NA,NA,NA,NA,NA,NA,2925214,3022726.79983578,-97512.79983578017,48.859
prediction,NA,NA,Bekasi,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1489654,1090184.4311777449,399469.5688222551,64.733
prediction,NA,NA,Bekasi,Bogor,NA,NA,NA,NA,NA,NA,9683231,6865216.224221102,2818014.775778898,52.367
prediction,NA,NA,Bekasi,Kota Bogor,NA,NA,NA,NA,NA,NA,2161108,1699588.542788795,461519.45721120504,61.93
prediction,NA,NA,Bekasi,Tangerang,NA,NA,NA,NA,NA,NA,1485330,906864.7531037804,578465.2468962196,94.704
prediction,NA,NA,Bogor,Kota Depok,NA,NA,NA,NA,NA,NA,10945261,11273067.009229317,-327806.0092293173,11.218
prediction,NA,NA,Bogor,Kota Bogor,NA,NA,NA,NA,NA,NA,5729654,7881389.350858288,-2151735.350858288,16.033
prediction,NA,NA,Bogor,Jakarta Utara,NA,NA,NA,NA,NA,NA,4886414,5313471.160663639,-427057.1606636392,45.136
prediction,NA,NA,Bogor,Jakarta Timur,NA,NA,NA,NA,NA,NA,8934566,8754402.87594158,180163.12405841984,40.818
prediction,NA,NA,Bogor,Jakarta Selatan,NA,NA,NA,NA,NA,NA,10448992,8088893.631441039,2360098.368558961,31.206
prediction,NA,NA,Bogor,Kota Tangerang,NA,NA,NA,NA,NA,NA,3690695,4532276.33921587,-841581.33921587,48.973
prediction,NA,NA,Bogor,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,2992741,3892751.5043852385,-900010.5043852385,28.74
prediction,NA,NA,Bogor,Jakarta Pusat,NA,NA,NA,NA,NA,NA,4091646,4341900.819682495,-250254.81968249474,39.862
prediction,NA,NA,Bogor,Kota Bekasi,NA,NA,NA,NA,NA,NA,7031064,5838033.3317216905,1193030.6682783095,39.212
prediction,NA,NA,Bogor,Jakarta Barat,NA,NA,NA,NA,NA,NA,5325169,5815357.792021659,-490188.7920216592,41.2
prediction,NA,NA,Bogor,Tangerang,NA,NA,NA,NA,NA,NA,2984055,3442149.264923075,-458094.2649230752,56.396
prediction,NA,NA,Bogor,Bekasi,NA,NA,NA,NA,NA,NA,8258483,6145046.932272526,2113436.0677274736,51.254
prediction,NA,NA,Jakarta Barat,Jakarta Pusat,NA,NA,NA,NA,NA,NA,4182942,3896798.228621515,286143.771378485,11.803
prediction,NA,NA,Jakarta Barat,Kota Tangerang,NA,NA,NA,NA,NA,NA,5547729,4637446.442328621,910282.5576713793,15.946
prediction,NA,NA,Jakarta Barat,Jakarta Selatan,NA,NA,NA,NA,NA,NA,4651180,5469657.8344076155,-818477.8344076155,13.876
prediction,NA,NA,Jakarta Barat,Jakarta Utara,NA,NA,NA,NA,NA,NA,5489023,4055569.928602133,1433453.071397867,23.216
prediction,NA,NA,Jakarta Barat,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,2421506,2006380.2234115342,415125.7765884658,21.699
prediction,NA,NA,Jakarta Barat,Tangerang,NA,NA,NA,NA,NA,NA,2414478,2496938.8697909857,-82460.86979098571,36.404
prediction,NA,NA,Jakarta Barat,Jakarta Timur,NA,NA,NA,NA,NA,NA,4465472,5024790.643673377,-559318.6436733771,29.699
prediction,NA,NA,Jakarta Barat,Kota Depok,NA,NA,NA,NA,NA,NA,2376478,2816479.265589588,-440001.26558958786,31.619
prediction,NA,NA,Jakarta Barat,Kota Bekasi,NA,NA,NA,NA,NA,NA,2727698,2840944.2433662727,-113246.24336627265,34.349
prediction,NA,NA,Jakarta Barat,Bekasi,NA,NA,NA,NA,NA,NA,1750823,1951939.972675589,-201116.9726755889,62.556
prediction,NA,NA,Jakarta Barat,Bogor,NA,NA,NA,NA,NA,NA,4842359,5298010.330137433,-455651.33013743255,42.269
