output_type,parameter_type,region,origin,destination,coefficient,std_error,z_value,wald_statistic,p_value,multiplicative_factor,flow,predicted_flow,residual,distance_value
prediction,NA,NA,Jakarta Selatan,Kota Bogor,NA,NA,NA,NA,NA,NA,6048190,1878835.6994509427,4169354.3005490573,43.074
prediction,NA,NA,Jakarta Selatan,Tangerang,NA,NA,NA,NA,NA,NA,1739791,2151230.5195672545,-411439.51956725447,46.988
prediction,NA,NA,Jakarta Timur,Kota Bekasi,NA,NA,NA,NA,NA,NA,7109699,7541732.447740998,-432033.4477409981,10.532
prediction,NA,NA,Jakarta Timur,Jakarta Utara,NA,NA,NA,NA,NA,NA,7459560,6597189.030462046,862370.9695379538,16.319
prediction,NA,NA,Jakarta Timur,Jakarta Pusat,NA,NA,NA,NA,NA,NA,5651736,4417930.876787821,1233805.1232121792,18.742
prediction,NA,NA,Jakarta Timur,Jakarta Selatan,NA,NA,NA,NA,NA,NA,6642709,6487238.778414752,155470.22158524767,18.893
prediction,NA,NA,Jakarta Timur,Bekasi,NA,NA,NA,NA,NA,NA,3233494,4856043.420219692,-1622549.4202196924,39.742
prediction,NA,NA,Jakarta Timur,Jakarta Barat,NA,NA,NA,NA,NA,NA,4153560,4544117.979124059,-390557.97912405897,29.588
prediction,NA,NA,Jakarta Timur,Kota Depok,NA,NA,NA,NA,NA,NA,5675730,3955103.5175817744,1720626.4824182256,32.053
prediction,NA,NA,Jakarta Timur,Kota Tangerang,NA,NA,NA,NA,NA,NA,2591649,3426844.002111722,-835195.0021117218,40.318
prediction,NA,NA,Jakarta Timur,Kota Bogor,NA,NA,NA,NA,NA,NA,1149553,1752610.7179665486,-603057.7179665486,54.189
prediction,NA,NA,Jakarta Timur,Bogor,NA,NA,NA,NA,NA,NA,7557011,7467235.712489607,89775.28751039319,41.651
prediction,NA,NA,Jakarta Timur,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1747160,1904418.1660580614,-157258.1660580614,37.103
prediction,NA,NA,Jakarta Timur,Tangerang,NA,NA,NA,NA,NA,NA,1742089,1763485.3539879364,-21396.353987936396,62.741
prediction,NA,NA,Jakarta Utara,Jakarta Pusat,NA,NA,NA,NA,NA,NA,4570589,3493337.75081152,1077251.24918848,14.512
prediction,NA,NA,Jakarta Utara,Jakarta Timur,NA,NA,NA,NA,NA,NA,7621389,6867985.274284261,753403.7257157387,16.388
prediction,NA,NA,Jakarta Utara,Kota Bekasi,NA,NA,NA,NA,NA,NA,3579327,3910801.880633961,-331474.88063396094,22.433
prediction,NA,NA,Jakarta Utara,Jakarta Selatan,NA,NA,NA,NA,NA,NA,3326544,4249157.015644473,-922613.015644473,21.731
prediction,NA,NA,Jakarta Utara,Jakarta Barat,NA,NA,NA,NA,NA,NA,5216378,3747366.658991031,1469011.3410089691,24.15
prediction,NA,NA,Jakarta Utara,Kota Tangerang,NA,NA,NA,NA,NA,NA,2355236,2977460.6750336746,-622224.6750336746,32.876
prediction,NA,NA,Jakarta Utara,Kota Depok,NA,NA,NA,NA,NA,NA,2368747,2517831.06065437,-149084.0606543701,36.225
prediction,NA,NA,Jakarta Utara,Bekasi,NA,NA,NA,NA,NA,NA,1969734,2523264.1021563034,-553530.1021563034,51.643
prediction,NA,NA,Jakarta Utara,Bogor,NA,NA,NA,NA,NA,NA,4222677,4756323.664822774,-533646.664822774,45.886
prediction,NA,NA,Jakarta Utara,Kota Bogor,NA,NA,NA,NA,NA,NA,713000,1090351.1138139088,-377351.11381390877,59.205
prediction,NA,NA,Jakarta Utara,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1462083,1293558.4679353104,168524.53206468956,38.851
prediction,NA,NA,Jakarta Utara,Tangerang,NA,NA,NA,NA,NA,NA,1457840,1436106.3370668653,21733.662933134707,57.721
prediction,NA,NA,Kota Bekasi,Jakarta Timur,NA,NA,NA,NA,NA,NA,8731070,9559900.673941718,-828830.6739417184,8.408
prediction,NA,NA,Kota Bekasi,Jakarta Utara,NA,NA,NA,NA,NA,NA,4302258,4445748.319204807,-143490.31920480728,22.819
prediction,NA,NA,Kota Bekasi,Bekasi,NA,NA,NA,NA,NA,NA,5243677,4931818.583499067,311858.41650093254,30.273
prediction,NA,NA,Kota Bekasi,Jakarta Selatan,NA,NA,NA,NA,NA,NA,3711908,4501225.531836723,-789317.531836723,24.122
prediction,NA,NA,Kota Bekasi,Jakarta Pusat,NA,NA,NA,NA,NA,NA,2471571,2937784.0508520594,-466213.0508520594,25.493
prediction,NA,NA,Kota Bekasi,Kota Depok,NA,NA,NA,NA,NA,NA,2410047,2674024.337196914,-263977.337196914,33.497
prediction,NA,NA,Kota Bekasi,Jakarta Barat,NA,NA,NA,NA,NA,NA,3115772,3091800.34530743,23971.654692570213,35.743
prediction,NA,NA,Kota Bekasi,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1567174,1180370.4173445832,386803.5826554168,41.639
prediction,NA,NA,Kota Bekasi,Kota Tangerang,NA,NA,NA,NA,NA,NA,2061087,2083263.4444517258,-22176.44445172581,47.069
prediction,NA,NA,Kota Bekasi,Bogor,NA,NA,NA,NA,NA,NA,7303210,6026686.132736871,1276523.867263129,38.929
prediction,NA,NA,Kota Bekasi,Kota Bogor,NA,NA,NA,NA,NA,NA,1366560,1355721.0349390311,10838.965060968883,50.976
prediction,NA,NA,Kota Bekasi,Tangerang,NA,NA,NA,NA,NA,NA,1562626,1058617.1310634387,504008.8689365613,69.427
prediction,NA,NA,Kota Bogor,Bogor,NA,NA,NA,NA,NA,NA,5260762,5792056.90734274,-531294.9073427403,17.115
